Title,Description,URL
The Dutch Song Database,"The Dutch Song Database contains more than 140,000 song descriptions, i.e. references to sources, and in a steadily growing number of cases also the texts, music notation and recordings of the songs. Most of the song texts are in Dutch, Flemish and Frisian, although sometimes songs in other languages have been included, like French, German and Latin, when these were sung in the Netherlands. The Dutch Song Database runs from Middle Ages through the twentieth century. Each collection or repertoire has its own kind of songs and sources, and its own percentage of completeness. The Middle Ages, including the sixteenth century, have the highest percentage: approximately 100 percent of all surviving sources. The percentage becomes gradually lower from 1600 on. For the twentieth century mainly folk song collections have been excerpted, including thousands of fieldwork recordings. For contemporary popular music only references to a limited number of CDs are included. The collections and repertoires have been included via many separate projects. Most of the collections are preserved in the Meertens Institute, but collections from other institutions or libraries have also been included.",http://www.liederenbank.nl/index.php?lan=en
Stanford University Music Library and Archive of Recorded Sound,"The Stanford University Music Library and Archive of Recorded Sound promote research, teaching, and learning in music by providing library services that allow users to find and obtain the resources they need easily and effectively; by developing and maintaining strong collections; by permanently preserving research materials; and by improving methods of access to music materials in all forms for the Stanford University community. ",https://library.stanford.edu/music/collections
Irving S. Gilmore Music Library,"The Irving S. Gilmore Music Library at Yale University is one of the largest collections of music scores, sound recordings, and music research materials in the United States. As such, the Music Library reflects the centrality of musical performance and scholarship to the University throughout its history. The library holds a wealth of printed, recorded, online, manuscript, and microform materials for the performance and study of music.  These include approximately 120,000 scores and parts; 81,000 books about music; 43,000 LP recordings and compact discs; 1,500 DVDs and videotapes; and 425 active subscriptions to music periodicals.  Ebooks and online databases of articles (citations and full-text), books, scores, sound recordings (streaming audio), and video recordings (streaming video) allow Yale students and faculty to access materials from anywhere in the world, 24/7.  Among the strengths of the Music Library collections are complete runs of nearly every available monumental set and composer's collected edition, and an extensive reference collection of encyclopedias, dictionaries, bibliographies, composer thematic catalogs, library catalogs, and discographies, both print and online.  Hundreds of published facsimiles that recreate the appearance of early editions and important manuscripts, such as the Squarcialupi Codex and the Chansonnier of Jean de Montchenu, form another rich collection that enhances our understanding of the compositional process and physical forms in which music was made available during earlier periods. Amplifying the Music Library's circulating, periodical, and reference collections are the Special Collections of rare editions, single manuscripts, and archival collections, as well as the American Musical Theatre Collection, the Historical Sound Recordings Collection, and the Oral History of American Music.  The special collections include 11,600 microforms of manuscripts, scores, books, dissertations, library catalogs, manuscripts, periodicals, and scores; 45,000 pieces of sheet music; 95,000 photographs; the personal papers and archival collections of about 140 composers and musicians; approximately 650 individual music manuscripts not forming a portion of a larger collection.  The Collection of Historical Sound Recordings holds more than 280,000 historic sound recordings. Oral History of American Music has created a collection of more than 2,000 of in-depth audio and video interviews with major musical figures of our time.",https://web.library.yale.edu/music/collection
OZ Magazine Archive,OZ magazine was published in London between 1967 and 1973 under the general editorship of Richard Neville and later also Jim Anderson and Felix Dennis. Martin Sharp was initially responsible for art and graphic design. Copies of OZ can be viewed and downloaded for research purposes from this site. OZ magazine is reproduced by permission of Richard Neville. ,https://ro.uow.edu.au/ozlondon/
Glasgow Miracle Archives,This online resource presents a number of archive sources relating to the Third Eye Centre (1975-1991) and CCA (1992-the present). The cataloguing of these previously inaccessible resources has been made possible by a Glasgow School of Art AHRC-funded speculative research project to assist research and reflection upon the causes and conditions which encouraged the renaissance of the visual arts in Glasgow since the late 1970s.,https://www.glasgowmiraclearchives.org/
New York Folklore,"New York Folklore is a membership organization, open to all, concerned with furthering cultural equity and strengthening the understanding of the role of folk and traditional arts in our lives.  We support folk and traditional artists, community cultural experts, community-based cultural organizations, and academic and public sector folklorists. New York Folklore was founded in 1944 as New York Folklore Society.  At its inception, New York folklore provided  opportunities for individuals interested in folklore in New York to share their collecting activities and their scholarship.  Through its conferences and publications, the Society provided a vehicle for continued folklife activities in the state. Early members included students of founders Harold Thompson and Louis Jones, as well as folklore scholars and enthusiasts, several of whom were also involved in progressive education experiments and early civil rights activism. The Society began publishing its journal in 1945. The journal, first named New York Folklore Quarterly, was later titled New York Folklore (1977).  Since 2000, the Journal has been known as Voices: The Journal of New York Folklore. New York Folklore hired its first Executive Director (John Suter) in 1991 who developed the Society into a cultural service organization providing professional development and technical assistance to professional folklorists, community cultural experts, grassroots organizations, and folk and traditional artists. Today, New York Folklore has a close partnership with the Folk Arts Program of the New York State Council on the Arts to provide technical assistance to the field in New York State.",https://nyfolklore.org/
Swem Library’s Special Collections,"Established by Swem Library’s Special Collections at William & Mary, the William & Mary Hip Hop Collection is the most comprehensive of its kind dedicated to Virginia’s hip hop culture and history from the 1980s to the present. The collection includes oral histories committed to preserving and documenting Virginia’s rich hip hop past, as well as recordings of hip hop music, publications, and ephemera created by Virginia and Virginia-based artists, collectives, and businesses.  Additionally, the collection documents the origins and impact of hip hop culture on college campuses throughout the state by collecting records of hip hop based student organizations, college radio stations, events and concerts with a special focus on William & Mary itself. Please note that the collection is added to on a regular basis and an inventory of the collection is available through the Special Collections Database. The collection is also available for research and use in Swem Library's Special Collections. Beginning in spring 2013, the William & Mary Hip Hop Collection celebrated hip hop culture and history with an event consisting of panels, performances, and film screenings dedicated to local, regional, and global hip hop culture and history. Photographs of past events are available on the Special Collections Flickr page.",https://libraries.wm.edu/special-collections-research-center/collections/manuscripts/wm-hip-hop-collection
Recorded Sound Archives at Florida Atlantic University,"The Recorded Sound Archives (RSA) is a unit of FAU Libraries Special Collections department. We are located in the Wimberly Library on FAU's Boca Raton campus.  Originally established in 2002 as a small project dedicated to the preservation of Jewish music, the RSA has matured into a robust digitization operation for all types of sound recordings. In 2009 the RSA expanded to include Jazz recordings (collection donated by Dr. Henry Ivey) and early American vintage recordings (collection donated by the estate of Jack Saul). The RSA holds over 100,000 recordings of various types, all of which have been donated to the Wimberly Library by individuals and organizations committed to the preservation of sound recordings as cultural and historic artifacts.",https://rsa.fau.edu/vintage
Foundation for Iranian Studies,"The Foundation for Iranian Studies was established in 1981 as a non-profit educational and research institution to preserve, study, and transmit Iran's cultural heritage; to study contemporary issues in Iranian government and society; and to point to the probable social, economic, political, and military directions Iran might take in the 21st century. The Foundation will increasingly serve as an information center for the study of Iran’s past, present and future. Non-partisan and non-political, the Foundation believes authentic, objective scholarship can and should encompass a multiplicity of intellectual contributions and a diversity of opinions.",https://fis-iran.org/en
Free Music Archive,"Free Music Archive (FMA), founded in 2009 by radio station WFMU, offers free access to open licensed, original music. Historically, radio has always offered the public free access to new music. So with the help of curators, netlabels and thousands of independent musicians around the world FMA became a continuation of that purpose. Tens of millions of visitors every month download music for personal use and many share and remix music from FMA in videos, podcasts, films, games, apps and even school projects. Every MP3 you discover on Free Music Archive is pre-cleared for certain types of uses that would otherwise be prohibited by copyright laws that were not designed for the digital era. These uses vary and are determined by the rights-holders themselves (please see our FAQ) who feel that allowing a degree of free cultural access is beneficial not only to their own pursuits, but to our society as a whole. Free Music Archive is a resource for audiophiles of all stripes, and unlike other websites, all of the audio has been hand-picked by one of our established audio curators. Free Music Archive is a platform for collaboration between curators and artists, including radio stations, netlabels, venues, artist collectives, museums, music festivals and more. The platform combines the curatorial approach that these organizations have played for the last few decades, with the community-generated approach of many current online music sites. Inspired by Creative Commons and the open-source software movement, FMA provides a legal and technological framework for curators, artists, and listeners to harness the potential of music sharing. Every artist page will have a bio and links to the artists’ home page for users to learn more about the music they discover via Free Music Archive. We also seek to compensate artists directly where possible. Artist, album and song profiles may contain links to buy the full album from the artist and/or label’s preferred vendor(s). Users can also “tip” an artist if they like what they hear, sending a donation directly to the artists’ PayPal account. FMA is also experimenting with ""web monetization"" tools. While Free Music Archive is free and open to anyone regardless of registration or other requirements, written and audio content is curated, and permission to upload/edit content is granted on an invitation basis.",https://freemusicarchive.org/home
footage berlin,"footage berlin – the new lable of rbb media GmbH, the subsidiary and full-service media provider of rbb (Rundfunk Berlin-Brandenburg/ Berlin-Brandenburg Broadcasting). rbb media is exclusively responsible for licensing the stock footage of rbb and DRA (Deutsches Rundfunkarchiv). The intention of footage berlin is to increase the accessibility, presence, and visibility of the archives. Short video clips grant insights into the unique collections and their thematic focus. Get inspired for your production! footage berlin is easily accessible and offers personal and reliable service. footage berlin is constantly expanded with further iconic images as well as unknown gems of the archives.",https://footage-berlin.com/en/
Glenn Miller Archives,"The Glenn Miller Archives (GMA) of the American Music Research Center is the designated repository for the legacy of Alton Glenn Miller (1904-1944), American popular music icon and Doctor of Humane Letters, Distinguished Alumnus Honorare, University of Colorado Boulder The GMA encompasses many thousands of audio recordings, documents, photographs and memorabilia from the ""Big Band Era"" of American Popular Music, and is a leading resource for scholars, students, researchers and collectors. The objective of the GMA is to preserve, enhance and share the history of the Big Band Era. As encouraged by our benefactors, the late Steven Davis Miller (1943-2012) and Jonnie Miller Hoffman, the children of Glenn and Helen Miller, the GMA is a permanent and accessible center of learning for future generations of scholars, students, historians and the public. The GMA works closely with associates around the world and benefit from important affiliations with universities, government agencies and key partnerships within the entertainment industry. The legacies of many prominent artists and collectors are entrusted to the GMA. In addition to extensive Glenn Miller and Tommy Dorsey catalogs, all of the bandleaders, musicians and singers of the mid-20th Century are represented in the many individual GMA Collections.",https://www.colorado.edu/amrc/glenn-miller-archives
Crocodile Café Collection,"The Crocodile Café Collection contains over 5 years of unique live audio and video recordings. Recorded at the Crocodile Café between May 2002 and December 2007 by audio engineer Jim Anderson, these recordings document performances by 2,000+ artists. From indie rock to punk, freak folk to noise, and Disney cover to shoegazer, the collection captures numerous memorable and energetic performances. Whatever your opinion of a particular band, the authentic and crystalline quality of the recordings is a testament to the audio engineering prowess of the collection's donor and creator, Jim Anderson.",https://guides.lib.uw.edu/research/croc
Al Magazine,"Archive for Italian hip-hop and rap magazine AL, featuring interviews and features from the magazine's print publication which ran in the 1990s from Genova, Italy. ",https://almagazine.it/
Rave Flyers UK,"Twitter account that shares vintage rave flyer art and magazine articles from late 80's onwards. Acid House, Old Skool Rave, Techno, House.",https://mobile.twitter.com/RaveflyersUK
Chicago Music Forever,"With Chicago Music Forever, the Reader hopes to capture some of the many histories that have shaped the city’s multifaceted music community. Music journalism is often ephemeral, and that’s not a knock on it—the same quality that makes show recommendations useful also means they rarely have long shelf lives, and very few album reviews or artist interviews still feel relevant 20 years later. What would it look like to create music stories with an eye toward future audiences? The Reader already does this to some extent, of course. Our archives contain a great deal of Chicago music history that’s just as informative now as when it was written, and we continue to publish such stories every year. The ten new pieces at the heart of Chicago Music Forever add to the Reader’s record of this history, describing not just current events but also developments that span nearly 150 years. One chronicles the development of duranguense in the city’s Mexican American community around the turn of the 21st century; another details the Catholic school parties on the south and west sides that helped incubate the house-music scene in the 1970s and ’80s; a third describes Chicago’s emergence as an epicenter for the manufacture and distribution of musical instruments after the Great Fire. By filling in gaps and corners and illuminating subterranean connections, this sort of storytelling can make it easier to grasp Chicago’s music history as an almost infinitely detailed and constantly evolving tapestry. In defiance of the segregation that blights the city, it demonstrates that no single thread exists apart from the others. Aside from these ten pieces, this page contains an evolving selection from the Reader archives, which heavily favors material without an expiration date: oral histories, deep dives, memorial tributes, and obituaries. We’ve also included a link to our continuously updated community calendar of upcoming music events.",https://chicagoreader.com/chicago-music-forever/
American Music Institute,"Founded in 1988 by Dean Paul Boylan with a donation from the Katherine Tuck Foundation, the American Music Institute strives “to foster collaborative investigation of musical life in the United States, drawing from resources throughout the U-M School of Music, Theatre & Dance, across the University of Michigan campus, and throughout the nation.” AMI serves as a project incubator and innovation center for the study of music of all kinds in the United States of America and indeed throughout the Americas. U-M Musicology Professors Mark Clague and Charles Garrett serve as co-directors of the Institute.",https://arts.umich.edu/orgs-projects/american-music-institute-ami/
"American Music Research Center at University of Colorado, Boulder","The American Music Research Center (AMRC) is dedicated to exploring and celebrating the diverse and rich traditions of American music. Jointly housed between the the University of Colorado’s College of Music and the University Libraries, the AMRC is home to a rare music repository that includes scores, papers, recordings, and material artifacts that document the history of American music and the people who have made it.",https://www.colorado.edu/amrc/
Center for American Music,"The goals of the Center for American Music are to preserve, create access, and educate. The materials held at the Center for American Music are meant to be actively used. Includes digital collections. ",http://www.pitt.edu/~amerimus/cam1.htm
Center for American Music at Butler School of Music,"The mission of the Center for American Music is to advance the teaching, scholarship, and performance of American music from all traditions in the Americas through research, educational, and performance programs of the highest quality. Inaugurated in the fall of 2002 and housed within the Butler School of Music, the Center continues to promote research and scholarship through annual workshops and speakers series. It also sponsors The Longhorn Music label, now distributed by NAXOS, which features performances by Butler School of Music ensembles and faculty. Recent releases featuring American music include: In the Thick of It by the UT Jazz Orchestra, Sacred Music of José Maurício Nunes Garcia by the University of Texas at Austin Chamber Singers, Over the Rainbow and Bach Again by the UT Saxophone Ensemble, and Joseph Turrin’s The Scarecrow and Duke Ellington’s Queenie Pie by the Butler Opera. The Center for American Music is the only such center or institute to be integrated with a comprehensive school of music within a major research university. Our Center aims to create a strong community of scholars, performers, and industry professionals in a collaborative learning environment. It also draws upon the University’s exceptional programs in American history and American studies, unique archival collections, and superb general library system. Austin is known as “the live music capital of the world,” and its unparalleled musical scene and burgeoning recording and film industries provide the perfect context for the study of American music in its many guises: from traditional folksong, country, blues, and gospel, to rock, rap, blue-eyed soul, and contemporary concert music. The Center for American Music at the University of Texas seeks to forge links between the academy and the community to facilitate an unprecedented exchange between musicians, scholars, students, and citizens of Austin.",https://sites.utexas.edu/cam/
Center for Black Music Research,"Center for Black Music Research (CBMR) holds items highlighting the role of black music in world culture with materials originating or representing black music in the United States, Europe, Latin America, the Caribbean, and Sub-Saharan Africa in a variety of formats: personal papers, scores, sheet music, audio-visual materials, photographs,  books, periodicals, and commercial recordings.",https://library.colum.edu/archives/collections/cbmr.php
Center for Popular Music at Middle Tennessee State University,"The Center for Popular Music at Middle Tennessee State University is one of the world's oldest and largest research centers devoted to the study of American folk and popular music. Established in 1985 as a state-sponsored Center for Excellence, in 2009 it became a unit in the university's College of Media and Entertainment. The archive holds over one million items related to American vernacular music traditions, in formats that include sheet music, song books, sound recordings, video recordings, manuscripts, photographs, periodicals, posters, and catalogs. The Center for Popular Music reading room offers a reference collection of scholarly books and maintains periodical subscriptions covering a wide range of scholarly, professional, and consumer publications.",https://www.mtsu.edu/popmusic/
H. Wiley Hitchcock Institute for Studies in American Music at Brooklyn College,"The H. Wiley Hitchcock Institute for Studies in American Music at Brooklyn College (HISAM) supports American music scholarship, pedagogy, and performances. We recognize and seek to connect diverse local, national, and global musical practices across a broad spectrum of oral, popular, and art music traditions. We represent scholars, performers, and creators that reflect the racial, economic, and gender diversity of our students, faculty, community, and the world. Through our biannual publication, American Music Review, the Polycultural America Speaker Series, monographs, collection of oral histories, and forums for public musicology, the faculty and staff of HISAM seek to resist systems of oppression, acknowledge the privileges of whiteness, strive for social justice, and publicly promote antiracism.",http://www.hisam.org/
Institute of Jazz Studies at Rutgers,"The Institute of Jazz Studies is the world's foremost  jazz archives and research library. Founded in 1952 by pioneer jazz scholar Marshall Stearns (1908-1966), the Institute has been a pioneering institution in the preservation and access of jazz heritage. IJS relocated from Stearns' apartment to Rutgers University–Newark in 1966, and is part of the Rutgers University Libraries. In 1994, IJS moved to spacious new quarters on the fourth floor of the John Cotton Dana Library at Rutgers–Newark. The Institute serves a broad clientele, including teachers, scholars, musicians, the media, record companies, filmmakers, and arts agencies.",https://www.libraries.rutgers.edu/newark/visit-study/institute-jazz-studies
John Jacob Niles Center for American Music,"The John Jacob Niles Center for American Music is a collaborative effort of the University of Kentucky School of Music, College of Fine Arts, Appalachian Studies Program, and the University Libraries. It is named for Kentucky folklorist and composer John Jacob Niles whose family provided a generous gift to help establish the Center and its collections. Niles was an early and influential collector of Kentucky folk music, but he was also a pioneer among musicians and composers who used American folk music as a wellspring for their own compositions, inspiring the likes of Bob Dylan, Joan Baez, Jerry Garcia, and many others. Because of these two sides of Niles’ work and life, the John Jacob Niles Center embraces both the traditional and the innovative, the conservative and the progressive tendencies in American Music. The Center provides a focal point for the research and performance of American music, from the early Colonial period through the present, with special emphasis on the indigenous culture of the southeastern United States. The Niles Center serves as a repository for primary and secondary research materials, and actively supports the development and dissemination of scholarly research in American Music.",https://finearts.uky.edu/music/facilities/john-jacob-niles-gallery
