Title,Primary Subject,Secondary Subjects,URL,URL 2,Description,Online Accessibility,Language
SYDNEY DANCE PARTY FLIERS,Electronic Music,Sydney,https://collection.maas.museum/object/539530/parts,,"The Museum of Applied Arts & Sciences’ collection of Australian Dance Party Fliers presents over 1,850 fliers from the rave and dance party scene of Sydney between 1990 and 1998. Sydney would become one of the leading rave and dance scenes in the world by the end of the 1980s, but with that popularity came pushback from people living near the large venues, so these fliers reflect the early 90s turn to underground raves. The fliers provide a look into not only who and what kind of music was playing where, but the way organizers communicated through graphic design in a pre-internet era and how Australian dance culture adapted over the decade.",Full,EN
BASS CULTURE RESEARCH,Electronic Music,,http://basscultureduk.com/ ,,"Bass Culture is the first Arts and Humanities Research Council award to the Black Music Research Unit at the University of Westminster. It takes the form of a three-year academic research project exploring the impact of Jamaican and Jamaican-influenced music on British culture. Covering the period from the 1960s to the present day, with an initial focus on London and a particular interest in the years 1976 – 1981, the research explores the profound ways in which the island’s music remade popular music in Britain – and was fundamental in the redefinition of the post-colonial nation.  

The online archive includes a selection of full and partial interviews and images from the research. ",Full,EN
BOB MOOG FOUNDATION ARCHIVES ,Electronic Music,Moog,https://moogfoundation.org/projects/bob-moog-foundation-archives/ ,,"The Bob Moog Foundation Archive is an extensive, historically rich and culturally significant body of materials representing 50 years of pioneering efforts in electronic music. The archive currently includes vintage instruments, prototypes, photographs, schematics, and items from Bob Moog’s extensive career. 

The archive is not currently open to the public and only operates via collaborations, some of which are documented on the website. Plans are undergoing for a museum that could house the archive in Ashville, NC. ",None,EN
COIL ARCHIVE,Electronic Music,Experimental Electronic,https://brainwashed.com/coil/index.php ,,"An archive of recordings, performances, interviews, and visual materials related to the band Coil, run by Brainwashed. Active between 1982 and 2005 and centered around the duo of John Balance (Psychic TV) and Peter Christopherson (Throbbing Gristle) alongside various contributors, Coil became one of the most mythologized groups to emerge from Britain’s post-industrial scene. ",Full,EN
DELIA DERBYSHIRE PAPERS,Electronic Music,,https://www.library.manchester.ac.uk/rylands/special-collections/exploring/a-to-z/collection/?match=Delia+Derbyshire+Papers ,,"Delia Derbyshire was a composer of early electronic music in the UK. This archive contains 267 audio tapes that have been digitized and are available to listen to at the library, including make-up tapes (uncovering the process of how Delia made her music) and recordings from radio and albums by the likes of Art Blakey, Karlheinz Stockhausen, Yusef Lateef and Can. The tapes are largely related to Derbyshire’s freelance projects as most of her work for the BBC is kept in the BBC Archive Centre at Perivale. There are also film donations from Madelon Hooykaas, an audio interview with Delia from Jo Hutton and a 90 second demo cue for an unmade film from the early 1980s donated by the visual artist Elisabeth Kozmian. The physical items include books (about music and electronic music), working notes, correspondence and letters referring to Delia’s work, sound cue sheets, interview transcriptions and newspaper cuttings as well as childhood school notebooks and drawings. ",Catalogue only,EN
DWELLER LIBRARY,Electronic Music,Techno,https://dwellerforever.blog/library/ ,,"The Dweller Library is a regularly updated list of articles, interviews and documentaries about techno and its history put together by co-editor Ryan Clarke. It includes books, articles, and audio-visual items. ",Full,EN
HYPERDUB ARCHIVE,Electronic Music,"Garage, Grime",https://web.archive.org/web/20201101141750/http://www.riddim.ca/?cat=12 ,,"While best known today as a music label dedicated to electronic music, Hyperdub originally began life in 2000 as an online magazine run and edited by Steve Goodman, aka Kode9, and featuring writing from Goodman, Kodwo Eshun, Martin Clark and others about the various mutations of dance music at the turn of the century. The magazine disappeared in 2004 when the label was launched. This is a partial, unofficial archive of the magazine. Originally maintained by riddim.ca, it is now only available via the Wayback Machine.  ",Full,EN
MAP POINTZ ,Electronic Music,"Raving, Los Angeles",https://www.instagram.com/map_pointz/ ,,"Map Pointz is a community-generated archive dedicated to the 90s L.A. backyard parties, rave and underground scene. It exists primarily on Instagram and is curated by Guadalupe Rosales, a multidisciplinary artist who also runs another, similar, archival project, “Veteranas and Rucas,” dedicated to Latinx women. 

The projects manifested in 2015 from the under/misrepresentation and historical erasure of Latinx communities in Southern California. These community-generated projects begin with an open invitation to various Latino communities to share personal images and memories that create visual narratives that celebrate identities and historicize subcultures. The archives explore ideas about how history and culture are framed and who does the framing.  

Guadalupe’s studio also houses and preserves a physical archive of Chicano/Latino ephemera from the 1970s to the late-1990s, including but not limited to magazines, prison art and letters, posters and flyers from the Los Angeles underground backyard-party and rave scenes of the 1990s.",Full,EN
OPTIGRAM GRAPHIC ARTS,Electronic Music,Visual Arts,https://www.instagram.com/optigram.graphic.arts ,,"An instagram account archiving the visual work of designer Manuel Sepulveda aka Optigram (Hyperdub, Planet Mu) including album art, photography, flyers and more. ",Full,EN
RED BULL MUSIC ACADEMY,Electronic Music,"Hip-hop, Soul, Funk, Jazz ",https://www.redbullmusicacademy.com/ ,,"An annual workshop and lecture series funded by Red Bull and active between 1998 and 2009, the Red Bull Music Academy archive includes hundreds of articles, features, and interviews about modern music history alongside over 400 lectures with musicians and industry professionals available in both text and video. ",Full,EN
SWISS MUSEUM FOR ELECTRONIC MUSIC INSTRUMENTS,Electronic Music (Synthesizers),,https://smemmusic.ch/en/collection ,,"SMEM (Swiss Museum For Electronic Music Instruments) aims to establish itself as the world's first platform for electronic music instruments. The first base of this project was laid by the collection of Klemens Niklaus Trenkle who for the last 35 years collected numerous and valuable synthesizers, organs, keyboards, effects, and studio gear. SMEM is located in the innovation center of the “BlueFactory” in Fribourg (Switzerland). ",Catalogue only,EN
CREATIVE AUDIO ARCHIVE ,Experimental Music,"Jazz, Chicago",https://ess.org/caa ,,"The Creative Audio Archive (CAA) at Experimental Sound Studio is a Chicago-based center for the  preservation and investigation of innovative and experimental sonic arts and music. With collections from Sun Ra / El Saturn, Links Hall, Malachi Ritscher, Studio Henry, and Experimental Sound Studio (its parent organization), among others—CAA was formed for the historical preservation of recordings, print, and visual ephemera related to avant-garde and exploratory sound and music. ",Catalogue only,EN
INTERNET UNDERGROUND MUSIC ARCHIVE ,Experimental Music,Unsigned Music,https://archive.org/details/iuma-archive?tab=collection ,,"The IUMA was started in 1993 by three students at the University of California at Santa Cruz: Jeff Patterson, Jon Luini and Rob Lord. The three men worked together to create an online music archive that would help musicians and bands who weren't signed by a major label. The site allowed these unsigned artists to upload files and send them to fans. The site also enabled the artists the opportunity to talk with their fans. The IUMA was at first part of the Usenet newsgroups. IUMA eventually became part of eMusic and was shut down in 2006. Parts of the collection are now preserved by the Internet Archive.",Full,EN
FILM MUSIC FOUNDATION COLLECTION ,Film Scoring,Classical,https://www.filmmusicfoundation.org/interviews.html ,,"Founded in 2001 by Elmer Bernstein, Herschel Burke Gilbert and other music professionals, the Film Music Foundation is a non-profit organization that promotes education and preservation in the art of film scoring. The Foundationʼs oral history collection consists of in-depth interviews with composers, lyricists, song writers, arrangers and orchestrators who discuss their unique experiences in writing scores for film and television. Recorded in high-definition video, the interviews are two to three hours long. Maurice Jarre, Danny Elfman, Patrick Doyle, Johnny Mandel, Lalo Schifrin and Dave Grusin are among the composers featured in the collection. ",Full,EN
BEREA SOUND ARCHIVES ,Folk,Appalachia,https://soundarchives.berea.edu/ ,,"A collection of sound archives held by Berea College with a focus on folk music and the Appalachians featuring audio, interviews, and oral histories. ",Full,EN
BROADSIDE MAGAZINE,Folk,Music Publications,https://singout.org/broadside/,,"Founded in 1962, Broadside Magazine was instrumental in the folk-revival and served as a resource for political songwriters through the duration of its publication. The magazine had a stated mission of promoting as many “topical” and political songs as possible. Originally published bi-monthly through the late 70s, Broadside was revived in 1982 and ran until 1988. This archive encompasses all 186 issues of Broadside and is available through the website for folk music magazine Sing Out! ",Full,EN
CANADIAN FOLK MUSIC MAGAZINE,Folk,"Music Publications, Canada",https://www.canfolkmusic.ca/,,"Canadian Folk Music / Musique folklorique canadienne is an academic magazine published by The Canadian Society for Traditional Music. The aim is to promote the study and promotion of the traditional music of Canada, reflecting both ethnomusicologist and consumer perspectives.
This archive is split into two sections following a renaming and push to move online. The first 33 issues of this publication are available through the Canadian Folk Music Bulletin (CFMB). The remaining archives up to 2016 are available on the Canadian Folk Music website.",Full,EN
LOMAX DIGITAL ARCHIVE,Folk,,https://archive.culturalequity.org/ ,,"The Lomax Digital Archive is a collection of field recordings, photos, radio programs, videos, and recordings collected and captured by ethnomusicologist and folklorist Alan Lomax and his father, John A. Lomax. The archive contains documentation of traditional and folk music from all over the world and spans seven decades. The site also features a podcast that explores Lomax’s work in greater depth as well as the Global Jukebox, an interactive application to explore the contents of the archive. ",Full,EN
FOUNDATION FOR ARAB MUSIC ARCHIVING & RESEARCH,Folk,"Arab Music, Lebanon",http://www.amar-foundation.org/about/ ,,"AMAR is a Lebanese foundation committed to the preservation and dissemination of traditional Arab music. AMAR owns 7,000 records, principally from the “Nahda” era (1903 – 1930s), as well as around 6,000 hours of recordings on reel. To safeguard this rare collection, AMAR has acquired a state-of-the-art studio specifically dedicated to the digitization and conservation of this music. The website includes a historical timeline, artist catalogue, recordings, and a podcast. ",Full,EN
MINNESOTA BLUEGRASS MUSIC ORAL HISTORY PROJECT,Folk (Bluegrass),Minnesota,http://collections.mnhs.org/cms/display?irn=11373088 ,,"Eleven interviews with bluegrass musicians selected for their representative viewpoints of Minnesota bluegrass culture and its history. Topics discussed revolve around the development of bluegrass style and its musical culture, its connection to country and folk music, the Minnesota Bluegrass and Old-Time Music Association, personal and musical influences, other musicians, and musical events and festivals.",Full,EN
CORNELL HIP HOP COLLECTION ,Hip-Hop,,https://rmc.library.cornell.edu/hiphop/ ,,"The mission of the Cornell Hip Hop Collection (CHHC) is to collect and make accessible the historical artifacts of hip-hop culture and to ensure their preservation for future generations. It is open to the public. Established in 2007, the CHHC preserves more than 250,000 items across dozens of archives documenting the origins of hip hop culture and its spread around the globe. Located in Cornell Library’s Division of Rare and Manuscript Collections, the archives include thousands of sound and video recordings, hundreds of party and event flyers, artwork, photographs, books, magazines, and advertising, along with the archives of photographers, filmmakers, dancers, MC’s, DJ’s, artists, journalists, producers and publicists, and independent labels, managers and agencies.",Partial,EN
HIP-HOP ARCHIVE AND RESEARCH INSTITUTE,Hip-Hop,,http://hiphoparchive.org/ ,,"The Hip-Hop Archive and Research Institute's mission is to facilitate and encourage the pursuit of knowledge, art, culture and responsible leadership through hip-hop. Toward these goals, their website provides information about all of their activities and projects and serves as a resource for those interested in knowing, developing, building, maintaining and representing hip-hop. The site currently includes interviews, artist profiles, and the Classic Crates project. ",Full,EN
HIP-HOP RADIO ARCHIVE ,Hip-Hop,Radio,https://hiphopradioarchive.org/ ,,"The Hip-Hop Radio Archive aims to digitize, preserve, share, and contextualize recordings of hip-hop radio from the 1980s and 1990s from commercial, college, community, and pirate stations of all sizes, telling the stories of the shows and the people that made them. 

The archive only links to existing audio files at the Internet Archive or wherever they may be available. ",Full,EN
HOUSTON HIP-HOP RESEARCH COLLECTION,Hip-Hop,Houston,https://libraries.uh.edu/locations/special-collections/houston-hip-hop/ ,,"The Houston Hip Hop Research Collection documents the unique music and culture of Houston hip hop. One of the key parts of its collection is 1500 vinyl records owned by DJ Screw, originator of the “chopped and screwed” genre. The personal and business papers of other musical and visual artists are also represented. ",Partial,EN
MASSACHUSETTS HIP-HOP ARCHIVE,Hip-Hop,Massachusetts,https://openarchives.umb.edu/digital/collection/p15774coll30  ,,"In 2016, University Archives & Special Collections in the Joseph P. Healey Library at UMass Boston launched the Massachusetts Hip-Hop Archive with an initial donation by Pacey Foster of recordings from the Lecco’s Lemma radio program, a local rap music show that was founded by Magnus Johnstone and ran from 1985 to 1988 on local college radio stations WMBR (88.1 FM) and WZBC (90.3 FM). This digital collections includes The Lecco’s Lemma Collection, which contains both artist demos that were given to Magnus, as well as recordings of the show made by Willie “Loco” Alexander, who regularly taped the show throughout its run, and The Tony Rose and Yvonne Rose Collection, which currently contains a recording of a locally-produced show, Dance Slam, from 1989.",Full,EN
NOLA HIPHOP AND BOUNCE ARCHIVE,Hip-Hop,"Bounce, New Orleans",https://digitallibrary.tulane.edu/islandora/object/tulane:p16313coll68 ,,"The NOLA HipHop Archive has to date focused on the recording and collection of digital videotaped oral histories. The collection currently contains over 60 videotaped interviews with leading hip-hop and bounce artists, with new interviews added on an ongoing basis.  ",Full,EN
NORTHSIDE HIP-HOP ARCHIVE,Hip-Hop,Canada,https://www.nshharchive.ca/ ,,"Northside Hip Hop Archive is a digital collection of Canadian hip-hop history and culture. This site is a living archive, which means they are currently in the process of digitizing, cataloguing and engaging communities across the country. It currently features artist profiles and a Canadian hip-hop music video library ",Full,EN
LIVING COLLECTIONS CATALOGUE—CREATIVE BLACK MUSIC AT THE WALKER,Jazz,Contemporary Classical,https://walkerart.org/collections/publications/jazz/creative-black-music-at-the-walker-selections-from-the-archives,,"Creative Black Music at the Walker: Selections from the Archives is the fourth installment in the Walker Art Center’s Living Collections Catalogue that focuses on a select group of musicians in the 60s and 70s who have performed at the Walker multiple times. This collection features audio and video recordings, photos, correspondence, posters, and programs as well as commissioned essays to accompany each subject.
Subjects include Amiri Baraka, Julius Eastman, Anthony Braxton, Betty Carter, Ornette Coleman, Julius Eastman, Wadada Leo Smith, Cecil Taylor, and Henry Threadgill.",Full,EN
ORAL HISTORY ARCHIVES AT COLUMBIA UNIVERSITY,Jazz,Classical,https://library.columbia.edu/collections/oral-history-portal.html ,,"A portal for browsing all available oral histories held at Columbia University, across all subjects. Music oral histories include a selection of interviews with Chicago jazz musicians and Austrian immigrants to the United States.",Partial,EN
AFRICAN AMERICAN JAZZ PRESERVATION SOCIETY OF PITTSBURGH ORAL HISTORY PROJECT,Jazz,Pittsburgh,https://digital.library.pitt.edu/collection/african-american-jazz-preservation-society-pittsburgh-oral-history-project-records-recordings ,,"This oral history collection consists of transcripts, cassette tapes, project working files and background organizational records of the interviews conducted during the African American Jazz Preservation Society of Pittsburgh (AAJPSP) Oral History Project (1995-1999). The project documents individual African American Jazz Musicians in Pittsburgh as well as their efforts to organize. The content of the interviews span from 1904 to 1999.",Partial,EN
BRUBECK ORAL HISTORY PROJECT,Jazz,,https://scholarlycommons.pacific.edu/bohp/ ,,"Dave and Iola Brubeck were interviewed for this oral history project on January 30 and 31, 2007. During the interviews, the Brubecks discussed a broad range of topics from throughout their lives. Some of the stories cover well-known episodes in their career, others are related here for the first time.",Full,EN
LINKED JAZZ,Jazz,,https://linkedjazz.org/network/ ,,"An interactive visualisation of relationships between jazz musicians with annotations and music/video links, based on publicly available data. ",Full,EN
NATIONAL JAZZ ARCHIVE,Jazz,UK,https://nationaljazzarchive.org.uk/ ,,"The National Jazz Archive is a comprehensive resource on the history of jazz in the UK, documenting the development of the genre as well as stories of art, fashion, cultural diversity and social progress. The archive includes interviews, photographs, books, periodicals, posters, and more. ",Partial,EN
RUTGERS INSTITUTE OF JAZZ STUDIES RESEARCH PORTAL ,Jazz,,https://ijsresearch.libraries.rutgers.edu/ ,,"The Institute of Jazz Studies' mission is enhancing access to its collection - primarily based around its Jazz Oral History project and collection - to foster research in the areas of jazz and music history. The IJS Research Portal provides digital access to selected IJS collections in the Institute of Jazz Studies to further its mission and the mission of the Rutgers University Libraries to the Rutgers community, to scholars, and to the general public.",Partial,EN
SMITHSONIAN JAZZ ORAL HISTORY PROGRAM,Jazz,,https://americanhistory.si.edu/smithsonian-jazz/collections-and-archives/smithsonian-jazz-oral-history-program ,,"Established by the Smithsonian's National Museum of American History in 1992, the Jazz Oral History Program documented more than one hundred senior jazz musicians, performers, relatives, and business associates. Each interview was conducted by a jazz authority and was recorded on digital audiotape by a professional audio engineer. The interviews average six hours in length and cover a wide range of topics including early years, initial involvement in music, generally, and jazz specifically, as well as experiences in the jazz music world, including relationships to musicians.",Partial,EN
JOHN COLTRANE MEMORIAL BLACK MUSIC ARCHIVE,Jazz,Jamaican Music,https://library.sdsu.edu/scua/new-notable/john-coltrane-memorial-black-music-archive-sdsu,,"The John Coltrane Memorial Black Music Archive is a collection of nearly 50,000 recordings housed at San Diego State University. The archive encompasses nearly every important jazz musician from the 1920s onward. Alongside John Coltrane’s complete catalog, this archive also includes an extensive Blue Note collection, a comprehensive collection of Jamaican music, and countless other rare and out-of-print releases. ",None,EN
LOUIS ARMSTRONG HOUSE,Jazz ,Louis Armstrong,https://collections.louisarmstronghouse.org/ ,,"The Louis Armstrong House Museum is dedicated to sustaining Louis Armstrong’s legacy through preservations of his home and grounds, collection of archival materials, and creating educational programs for the public. 

The digital archive features photos, audio recordings, scrapbooks, awards, letters, and more provided by Louis Armstrong’s friends, family, and collaborators. The Louis Armstrong House is currently still in the process of digitizing their collections.",Registration,EN
QUEER MUSIC HERITAGE & HOUSTON LGBT HISTORY,LGBTQIA+,"Houston, Radio",http://www.queermusicheritage.com,https://www.houstonlgbthistory.org/index-pubs.html ,"For 15 years, Queer Music Heritage ran as a radio show and accompanying website by JD Doyle. After the end of the radio show in 2015, the website has lived on as a history of LGBT music. Main sections of the website, beyond the full archive of radio shows, concern gay musicals, drag artist directory and memorabilia, women’s music, camp songs, Stonewall songs, gay ephemera, and more. This is just one of JD Doyle’s archival websites.
Doyle is also behind Houston LGBT History, a website that began as a section of Queer Music Heritage that has grown outside music into other aspects of LGBT focused politics and culture in Houston, Texas. Houston LGBT History also features a huge number of national and regional publications regarding LGBT culture, like This Week in Texas and a chronological directory of early national gay publications, reaching back over 50 years. All of these publications can be downloaded from the website.",Full,EN
HOT WIRE,LGBTQIA+ (Lesbian Culture),"Music Publications, Chicago",http://www.hotwirejournal.com/ ,,"Hot Wire was a Chicago based magazine published from 1984 to 1994. Though always women and feminism focused, Hot Wire was mainly dedicated to lesbian culture at a time when the word was greatly maligned. The magazine captured a wide range of lesbian culture through interviews, festival and album reviews, and recurring columns and comics from people who would grow into important figures in feminist culture like Alison Bechdel.
Alongside a full pdf archive of all 30 issues of Hot Wire, the website also features directories of links to women’s music and other women’s culture archives. Hot Wire has also published special newsletters of updates on what “longtime friends” of the publication have been doing since it ceased operation.",Full,EN
THE LGBTQ STUDY GROUP OF THE AMERICAN MUSICOLOGICAL SOCIETY ,LGBTQIA+ (Musicology),,https://ams-lgbtq.squarespace.com/newsletters-archive ,,"The Newsletter for the LGBTQ Study Group of the American Musicological Society was published semi-annually, in fall and spring, from 1991 until 2007. (Before 2005 it was known as the GLSG [Gay and Lesbian Study Group] Newsletter. There was no issue for Fall 1993.) As with the LGBTQ Study Group generally, the objectives of the Newsletter included promoting communication among lesbian and gay music scholars, increasing awareness of issues in sexuality and music in the academic community, and establishing a forum for the presentation of lesbian and gay music studies.

The archive contains pdf versions of all newsletters between 1991 and 2007.",Full,EN
OUTWEEK MAGAZINE,LGBTQIA+ (Queer Culture),"Music Publications, New York City",http://www.outweek.net/archive.html ,,"OutWeek Magazine was a weekly magazine dedicated to queer news coverage based in New York City. While the magazine only ran for two years, from 1989 to 1991, OutWeek is remembered for covering the AIDS crisis as well as their controversial “Gossip Watch” column. Music coverage in OutWeek covered news, reviews, features, and extensive coverage of queer nightlife on a week-to-week basis.
The archive spans all 105 issues of the magazine.",Full,EN
GLADYS PALMERA COLECCIÓN,Location (Afrolatin and Cuban Music),"Cuba, Latin America",https://gladyspalmera.com/coleccion ,,"Online version of Gladys Palmera’s personal collection including detailed vinyl catalogues, books, personal diaries, photographs, and posters. Currently includes around 5,000 items from the full collection of 50,000. Also includes playlists and an online radio station. ",Full,ES
BOSTON PHOENIX ARCHIVE ,Location (Boston),Music Publications,https://archive.org/details/pub_boston-phoenix ,,The Boston Phoenix was an alt-weekly newspaper that was published from 1972 to 2013 that heavily featured arts and culture coverage of Boston alongside politics and other local news items. This archive encompasses the first ten years of the paper with the remainder of the archive only accessible through Northeastern University’s library.,Full,EN
BROOKLYN HISTORICAL SOCIETY ORAL HISTORY COLLECTIONS ,Location (Brooklyn),,https://oralhistory.brooklynhistory.org/ ,,"Brooklyn Historical Society (BHS) is one of the few cultural institutions in Brooklyn that maintains an oral history program.  Begun in 1973, BHS’s oral history collections now include over 1,200 interviews. These interviews bring the voices of history to broad audiences through exhibitions, digital humanities projects, K-12 and post-secondary curricula, public programs, and via the BHS blog and Flatbush + Main podcast. 

The collections provide a wealth of historical evidence about the lives of twentieth-century and twenty-first-century Brooklyn residents, and reveal how diverse individuals and communities have sought to preserve vital social, political, religious, and cultural traditions as Brooklynites, New Yorkers, and Americans. The collections contain interviews conducted in English, Spanish, Cantonese, and Mandarin, with narrators born as early as 1880. ",Full,EN
COLORADO MUSIC EXPERIENCE,Location (Colorado),,https://colomusic.org/ ,,"The Colorado Music Experience, a non-profit organization established to preserve the legacy of Colorado music, serves as a repository for informational and archival resources and presents them in intriguing, engaging and entertaining ways. Includes videos, photos, profiles, and a podcast.",Full,EN
DETROIT SOUND CONSERVANCY,Location (Detroit),"Jazz, Electronic Music",http://detroitsound.org/,,"The Detroit Sound Conservancy is a nonprofit community-based music archive documenting Detroit’s collective history through preservation, education, performance, and placekeeping. Its arts and culture programming emerge from its commitment to careful archival practice and creative placekeeping. These programs include the Club Heaven Sound System, Detroit Sound Hall of Fame, and the Historic Blue Bird Inn Stage. The collection includes the Graystone International Jazz Museum and Hall of Fame as well as thousands of additional artifacts, recordings, manuscripts, and oral histories.",Full,EN
GERMAN MUSIC ARCHIVE ,Location (Germany),Recorded Music,https://www.dnb.de/EN/Ueber-uns/DMA/dma_node.html,,"The German Music Archive of the German National Library collects and archives music in order to preserve it for posterity and make it available to the public. The collection is based on the sheet music and sound recordings which all German music publishers and labels are obliged to deposit by law. Its holdings currently encompass more than two million works. These also include historic sound carriers such as shellac records, phonograph cylinders and piano rolls for self-playing reproducing pianos. ",Catalogue only,EN
MANCHESTER DIGITAL MUSIC ARCHIVE ,Location (Manchester),,https://www.mdmarchive.co.uk/ ,,"Manchester Digital Music Archive is an online community archive established in 2003 to celebrate Greater Manchester music and its social history. 

Its crowd-sourced archive and website is a place for people all over the world to share Manchester music ephemera and memories, be they fans, musicians or involved with the music industry itself. The project believes that through crowd-sourcing artefacts they can democratise heritage and provide a platform for multiple versions of history to be shared. There is no hierarchy of 'merit' within the archive. The general public decides what is important and what is 'heritage'.",Full,EN
MUSIC AT MIT ORAL HISTORY,Location (MIT),,https://libraries.mit.edu/music-oral-history/ ,,"The Music at MIT Oral History Project, began in 1999, documents the vibrant history and culture of music at MIT through in-depth recorded audio and video interviews with MIT music faculty, staff, and former students who have substantially contributed to the musical life of the Institute. This collection of interviews encompasses the formal academic music program, ensembles of the MIT Music Section, student-run performing groups, and the history of the Lewis Music Library. ",Full,EN
ORAL HISTORY OF MUSIC IN PITTSBURGH ,Location (Pittsburgh),"Jazz, Chicago",https://www.carnegielibrary.org/music-special-collections/maurice-levy/ ,,"The Maurice Levy Oral History of Music in Pittsburgh Collection (OHMP) consists of more than 300 interviews, conducted by Mr. Maurice Levy (unless indicated otherwise), between 1991 and 2005. Mr. Levy (1926 – 2016) volunteered with the Music Department for many years. ",Catalogue only,EN
